DOCID|REFERENCE|ETABLISSEMENT|RESEAU|CONTACT|EMAILCONTACT|SITEWEB|TELEPHONE|FAX|HANDICAPS|CODEPOSTAL|ADRESSE|REGION|DEPARTEMENT|VILLE|ACTIVIT
82963|2013-08354|Hôtel Padoue|Tourisme et Handicap|M. Hernalsteen|reservation@hotelpadoue.fr||562530700|562530701|auditif ; mental ; moteur ; visuel|65100|1 rue Reine Astrid|Occitanie|HAUTES-PYRENEES|LOURDES|Hôtel
82964|2013-08355|Médiathèque|Tourisme et Handicap|M. Artiganave|mediatheque@ccpl-lourdes.fr|http://www.mediatheque-lourdes.fr|562942421||auditif ; mental ; moteur ; visuel|65100|Place du Champ Commun|Occitanie|HAUTES-PYRENEES|LOURDES|Lieu de visite
82965|2013-08356|Restaurant Le Parc|Tourisme et Handicap|M. Martin|beausejour.p.martin@wanadoo.fr|http://www.hotel-beausejour.com|562943818|562949620|auditif ; mental ; moteur ; visuel|65104|16 avenue de la Gare|Occitanie|HAUTES-PYRENEES|LOURDES|Restaurant
82966|2013-08357|Restaurant du Golf|Tourisme et Handicap|M.Estaun|||562448259||auditif ; mental ; moteur ; visuel|65100|Chemin du Lac|Occitanie|HAUTES-PYRENEES|LOURDES|Restaurant
82967|2013-08358|Voie Verte des Gaves|Tourisme et Handicap|Mme Begue|contact@plvg.fr|http://www.valleesdesgaves.com|562426498|562426359|auditif ; mental ; moteur ; visuel|65100|4 rue Michelet|Occitanie|HAUTES-PYRENEES|LOURDES|Sport de nature
82968|2013-08359|Chambres d'hôtes Christine et Petxu|Tourisme et Handicap|M. Petxu Caldéron|christinepetxu@orange.fr|http://www.chambres-hotes-luz.com|0562929079 ; 33680732078||auditif ; moteur ; mental|65120|14 route de Villenave|Occitanie|HAUTES-PYRENEES|LUZ SAINT SAUVEUR|Chambre d'hôtes
82969|2013-08360|Meublé de tourisme Le Petit Pain|Tourisme et Handicap|M. Marco Peters|marco@lesneufcerisiers.eu||0562354479/71 0665852836||auditif ; visuel ; moteur ; mental|65190|1 Impasse des Fontaines|Occitanie|HAUTES-PYRENEES|MASCARAS|Meublé de tourisme
82970|2013-08361|Gîte du Poiré - Les Granges|Tourisme et Handicap|Mme Andrieu|legitedupoire@free.fr|http://www.legitedupoire.com|0562390565 ; 0615756521||auditif ; visuel ; moteur ; mental|65130|Le Poiré|Occitanie|HAUTES-PYRENEES|MOLÈRE|Meublé de tourisme
82971|2013-08362|Gîte du Poiré La Maisonnette|Tourisme et Handicap|Mme Andrieu|legitedupoire@free.fr|http://www.legitedupoire.com|0562390565 ; 0615756521||auditif ; visuel ; moteur ; mental|65130|Le Poiré|Occitanie|HAUTES-PYRENEES|MOLÈRE|Meublé de tourisme
82972|2013-08363|SAS Biscuiterie Védère|Tourisme et Handicap|M. Oger|biscuiterie.vedere@wanadoo.fr|http://www.biscuiterievedere.com|562915062|562915383|auditif ; mental ; moteur ; visuel|65200|423 route de la Gare|Occitanie|HAUTES-PYRENEES|MONTGAILLARD|Lieu de visite
82973|2013-08364|Gîte communal de groupe du Mont Pelat|Tourisme et Handicap|M. Rogé|mairie_de_montserie@club-internet.fr|http://www.montserie.com|562989041||mental ; moteur|65150||Occitanie|HAUTES-PYRENEES|MONSÉRIÉ|Meublé de tourisme
82974|2013-08365|Hôtel Ibis Tarbes Odos|Tourisme et Handicap|M. Lemoine|h5973-gm@accor.com|http://www.ibishotel.com|562935118|562937840|mental ; moteur ; visuel|65310|61 avenue de Lourdes|Occitanie|HAUTES-PYRENEES|ODOS|Hôtel
82976|2013-08367|Promenade en Chiens de Traîneaux|Tourisme et Handicap|Mme Saye|saye@cegetel.net||559044616||auditif ; visuel ; moteur ; mental|65710|Camping des IV Véziaux|Occitanie|HAUTES-PYRENEES|PAYOLLE|Sport de nature
82978|2013-08369|Gîte rural Ferme de la Coustère|Tourisme et Handicap|Mme. Valérie Soucaze|valerie.soucaze@orange.fr||0562954160 / 0611368673||auditif ; moteur ; mental|65200|9 route de Monloo|Occitanie|HAUTES-PYRENEES|POUZAC|Meublé de tourisme
82979|2013-08370|Gite rural|Tourisme et Handicap|M. Christian Lagues|christian.lagues@wanadoo.fr|http://www.gitelourdespyrenees.monsite-orange.fr|0562420889/05977317969||auditif ; visuel ; moteur ; mental|65100|Chemin Henri IV|Occitanie|HAUTES-PYRENEES|POUEYFERRE|Meublé de tourisme
82980|2013-08371|Gîte de groupe Gite équestre du Val d'Adour|Tourisme et Handicap|Mme Bénédicte Tutoit|webmaster@cheval65.com||0562965944/00607296607||auditif ; mental ; moteur ; visuel|65140|Chemin Patouret|Occitanie|HAUTES-PYRENEES|RABASTENS-DE-BIGORRE|Meublé de tourisme
82981|2013-08372|Camping du Val d'Autun|Tourisme et Handicap|Mme Céline Brau|campingdautun@gmail.com|http://www.camping-saint-lary.com|562394031|562394031|auditif ; mental ; visuel|65170|11 route d'Autun|Occitanie|HAUTES-PYRENEES|SAINT LARY SOULAN|Camping
82982|2013-08373|Centre d'Information au Public EDF|Tourisme et Handicap|Mme Annabelle Pacaut-Fauvernier|||33(0)562408900|562408910|auditif ; visuel ; moteur ; mental|65170|Parc Benoit Fourneyron|Occitanie|HAUTES-PYRENEES|SAINT LARY SOULAN|Lieu de visite
82983|2013-08374|Restaurant La Grange|Tourisme et Handicap|M. Nicolas Aubiban|contact@hotel-angleterre-arreau.com|http://www.hotel-angleterre-arreau.com|562400714|562986966|auditif ; visuel ; moteur ; mental|65170|13 route d'Autun|Occitanie|HAUTES-PYRENEES|SAINT LARY SOULAN|Restaurant
82984|2013-08375|Postes de Pêche à Saint-Pé de Bigorre|Tourisme et Handicap|M. Jean-Pierre Artiganave|||562426498|562426359|auditif ; visuel ; moteur ; mental|65270|Lieu-dit La Cularque|Occitanie|HAUTES-PYRENEES|SAINT-PÉ DE BIGORRE|
82985|2013-08376|Gîte de la Coume|Tourisme et Handicap|M. Recurt|andrerecurt@wanadoo.fr|http://www.gitedelacoume.com|562994119|562994119|auditif ; visuel ; moteur ; mental|65300|94 chemin du Bernet|Occitanie|HAUTES-PYRENEES|TAJAN|Meublé de tourisme
82986|2013-08377|Office de Tourisme de Tarbes|Tourisme et Handicap|M.Garnier|accueil@tarbes-tourisme.fr|http://www.tarbes-tourisme.fr|562513031|562441763|auditif ; mental ; moteur ; visuel|65000|3 cours Gambetta|Occitanie|HAUTES-PYRENEES|TARBES|Office de tourisme
82987|2013-08378|Salle de spectacles Le Pari|Tourisme et Handicap|M. Trémège|lepari@mairie-tarbes.fr|http://www.lepari-tarbes.fr|562511200||mental ; moteur|65000|21 rue Georges Clémenceau|Occitanie|HAUTES-PYRENEES|TARBES|Etablissement de loisir
82989|2013-08380|Village Club l'Estibère|Tourisme et Handicap|M. Viot|vpt-stlary@laligue.org|http://www.vacancespourtous.org|562395438|562394658|auditif ; mental|65170||Occitanie|HAUTES-PYRENEES|VIEILLE AURE|Village de vacances
82992|2013-08383|Camping Europe|Tourisme et Handicap|M. Mas|camping.europe@wanadoo.fr|http://www.camping-europe.net|468810810|468957184|auditif ; mental ; moteur|66700|Avenue de Général de Gaulle|Occitanie|PYRENEES-ORIENTALES|ARGELES SUR MER|Camping
82993|2013-08384|Camping Le Soleil|Tourisme et Handicap|M. Miquel|||0468811448 (01/06;30/09) ; 0468959462 (30/09;01/06)||auditif ; mental ; moteur ; visuel|66700|Route du Littoral Plage Nord|Occitanie|PYRENEES-ORIENTALES|ARGELES SUR MER|Camping
82996|2013-08386|Office de Tourisme d'Argeles sur Mer|Tourisme et Handicap|M. Jean-Paul Richaud|infos@argeles-sur-mer.com|http://www.argeles-sur-mer.com|468811585|468811601|auditif ; mental ; moteur|66700|Place de l'Europe|Occitanie|PYRENEES-ORIENTALES|ARGELES SUR MER|Office de tourisme
82998|2013-08388|Office de Tourisme de Banyuls-sur-Mer|Tourisme et Handicap|M.Mascunano|ot.banyuls@banyuls-sur-mer.com|http://www.banyuls-sur-mer.com|468883158|468883684|auditif ; mental ; moteur|66650|Avenue de la République|Occitanie|PYRENEES-ORIENTALES|BANYULS SUR MER|Office de tourisme
83002|2013-08392|Meublé de Tourisme|Tourisme et Handicap|M. Peter Henry|nathalie.origin@yahoo.fr|http://www.origincare.com|632566175||auditif ; moteur ; mental|66190|2 rue Derain|Occitanie|PYRENEES-ORIENTALES|COLLIOURE|Meublé de tourisme
83004|2013-08394|Office de Tourisme d'Elne|Tourisme et Handicap|Mme Deprauw|tourisme@ville-elne.com|http://www.ot-elne.fr|468220507|468379505|auditif ; mental ; moteur ; visuel|66201|Place Sant Jordi|Occitanie|PYRENEES-ORIENTALES|ELNE|Office de tourisme
83006|2013-08396|Bains de Saint Thomas|Tourisme et Handicap|M. Stéphane Fortas|bainsdesaintthomas@orange.fr||468970313||mental ; moteur|66360||Occitanie|PYRENEES-ORIENTALES|FONTPEDROUSE|
83009|2013-08399|Restaurant Chez Antoine|Tourisme et Handicap|M. Martin|lavieillemaison@wanadoo.fr||0468300921 ou 0607086535||auditif ; moteur ; mental|66210|11 Avenue de Mont-Louis|Occitanie|PYRENEES-ORIENTALES|ANGLES (LES)|Restaurant
83010|2013-08400|Gîte du Mas Saragosse|Tourisme et Handicap|Mme Pascal|contact@mas-de-saragosse.com|http://www.mas-de-saragosse.com|0468684288 (résa gîtes de France)||moteur ; mental|66170|Route de Thuir|Occitanie|PYRENEES-ORIENTALES|MILLAS|Meublé de tourisme
83012|2013-08402|Maison de la Réserve de Nyer|Tourisme et Handicap|Mme MALHERBE|caroline.sentenac@cg66.fr|http://www.cg66.fr|468970556|468970568|auditif ; mental ; moteur ; visuel|66360|6 Carrer de la Font|Occitanie|PYRENEES-ORIENTALES|NYER|Lieu de visite
83013|2013-08403|Gite Le Domitia|Tourisme et Handicap|Mme Sylvie Guillot|contact@gites-de-france-66.com|http://www.gites-de-France-66.com|468684288|468688287|auditif ; moteur ; mental|66000|1795 Chemin de Charlemagne|Occitanie|PYRENEES-ORIENTALES|PERPIGNAN|Meublé de tourisme
83015|2013-08405|Office de Tourisme de Perpignan|Tourisme et Handicap|Mme Mouche|contact-office@perpignan.fr|http://www.perpignantourisme.com|468663030||mental ; moteur ; visuel|66000|Place Arago|Occitanie|PYRENEES-ORIENTALES|PERPIGNAN|Office de tourisme
83016|2013-08406|Office de Tourisme de Port Barcares|Tourisme et Handicap|Mme Mireille Callis|tourisme@portbarcares.com|http://www.portbarcares.com|468861656|468863420|auditif ; mental ; moteur ; visuel|66420|Place de la République BP 5|Occitanie|PYRENEES-ORIENTALES|PORT BARCARES|Office de tourisme
83017|2013-08407|Gîte rural Les Nougarols|Tourisme et Handicap|Mme Deblock|deblock.olivier@neuf.fr||||auditif ; moteur ; mental|66500|Chemin de Nougarols|Occitanie|PYRENEES-ORIENTALES|PRADES|Meublé de tourisme
83020|2013-08410|Chambre d'hôtes Les 2 Tours|Tourisme et Handicap|Mme Miraux|claude.miraux@neuf.fr||468059477||auditif ; moteur ; mental|66320|2 Carrer Font vella|Occitanie|PYRENEES-ORIENTALES|RODES|Chambre d'hôtes
83021|2013-08411|Brasserie Planes|Tourisme et Handicap|M. Eric Planes||http://www.planotel.fr|468047208||auditif ; mental ; moteur|66800|Place de Cerdagne|Occitanie|PYRENEES-ORIENTALES|SAILLAGOUSE|Café, bar, brasserie
83022|2013-08412|Hôtel Planes|Tourisme et Handicap|M. Eric Planes||http://www.planotel.fr|468047208|468047593|mental ; moteur|66800|Place de Cerdagne|Occitanie|PYRENEES-ORIENTALES|SAILLAGOUSE|Hôtel
83023|2013-08413|Restaurant Gastronomique Planes|Tourisme et Handicap|M. Eric Planes||http://www.planotel.fr|468047208||auditif ; mental ; moteur|66800|Place de Cerdagne|Occitanie|PYRENEES-ORIENTALES|SAILLAGOUSE|Restaurant
83024|2013-08414|Chambres d'hôtes Les Vignes|Tourisme et Handicap|M. Lacreu|pierre.lacreu@wanadoo.fr|http://www.chambres-dhotes-lesvignes.fr|468891813||auditif ; moteur ; mental|66690|40 rue des Albères|Occitanie|PYRENEES-ORIENTALES|SAINT  ANDRÉ|Chambre d'hôtes
83025|2013-08415|Maison de l'Art Roman|Tourisme et Handicap|M.Manent|contact@saint-andre66.fr|http://www.saint-andre66.fr|468890485||auditif ; mental ; moteur|66690|Allée de la Liberté|Occitanie|PYRENEES-ORIENTALES|SAINT  ANDRÉ|Lieu de visite
83027|2013-08417|Meublés La Joie de Vivre|Tourisme et Handicap|M. Houchot|manhouchot@orange.fr||0468954118 / 0616477742||auditif ; mental ; moteur|66690|17 rue des Abricotiers|Occitanie|PYRENEES-ORIENTALES|SAINT  ANDRÉ|Meublé de tourisme
83028|2013-08418|Office de Tourisme de Saint André|Tourisme et Handicap|M. Manent|contact@saint-andre66.fr|http://www.saint-andre66.fr|468890485|468816977|auditif ; mental ; moteur ; visuel|66690|Allée de la Liberté|Occitanie|PYRENEES-ORIENTALES|SAINT  ANDRÉ|Office de tourisme
83032|2013-08422|Office de Tourisme de St Paul de Fenouillet|Tourisme et Handicap|M. Poux|contact@st-paul66.com|http://www.st-paul66.com|468590757|468591911|auditif ; mental ; moteur ; visuel|66220|26 bd de l'Agly|Occitanie|PYRENEES-ORIENTALES|SAINT PAUL DE FENOUILLET|Office de tourisme
83033|2013-08423|Chalet Bela Bartok|Tourisme et Handicap|M. Nicolas Saout|nicolassaout@free.fr|http://chalet.pyrenees.free.fr|613417105||moteur ; mental|66210|13 rue de la Jasette|Occitanie|PYRENEES-ORIENTALES|SAINT PIERRE DELS FORCATS|Meublé de tourisme
83034|2013-08424|Chalet Carlit|Tourisme et Handicap|M. Nicolas Saout||http://chalet.pyrenees.free.fr|613417105||moteur ; mental|66210|13 rue de la Jasette|Occitanie|PYRENEES-ORIENTALES|SAINT PIERRE DELS FORCATS|Meublé de tourisme
83035|2013-08425|Chalet Puigmal|Tourisme et Handicap|M. Nicolas Saout||http://chalet.pyrenees.free.fr|613417105||moteur ; mental|66210|13 rue de la Jasette|Occitanie|PYRENEES-ORIENTALES|SAINT PIERRE DELS FORCATS|Meublé de tourisme
83036|2013-08426|Musée de Cerdagne - Ferme Cal Mateu|Tourisme et Handicap|Mme Palau|musee-cerdagne@wanadoo.fr|http://www.pyrenees-cerdagne.com|468040805||auditif ; mental|66800|Ferme Cal Mateu|Occitanie|PYRENEES-ORIENTALES|SAINTE LEOCADIE|Lieu de visite
83037|2013-08427|Camping Municipal de la Plage|Tourisme et Handicap|M. Pierre Roig|contact@camping-municipal-de-la-plage.com|http://www.camping-municipal-de-la-plage.com|468806859|468731470|auditif ; mental ; moteur|66470|Avenue de las illes|Occitanie|PYRENEES-ORIENTALES|SAINTE MARIE LA MER|Camping
83041|2013-08431|Gîte d'étape et de séjour el Passatge|Tourisme et Handicap|M. Loupien|contact@gite-etape-el-passatge.fr|http://www.gite-etape-el-passatge.fr|468967865||auditif ; visuel ; moteur ; mental|66500|Cami de las Tarteres|Occitanie|PYRENEES-ORIENTALES|TAURINYA|Meublé de tourisme
83043|2013-08433|Gîtes ruraux du Mas de Flos gîte n°1 le Galliner|Tourisme et Handicap|M. Deprade|jy.deprade@orange.fr||468535193||auditif ; moteur|66300|Mas de Flos|Occitanie|PYRENEES-ORIENTALES|THUIR|Meublé de tourisme
83044|2013-08434|Gîtes ruraux du Mas de Flos gîte n°2 Le Cortal|Tourisme et Handicap|M. Deprade|||468535193||auditif|66300|Mas de Flos|Occitanie|PYRENEES-ORIENTALES|THUIR|Meublé de tourisme
83045|2013-08435|Ferme pédagogique La Ferme aux Anes|Tourisme et Handicap|M. Alain Melich|alain.melich@wanadoo.fr||610708599||auditif ; mental|66300|Ancien Chemin de Thuir|Occitanie|PYRENEES-ORIENTALES|TORDERES|Lieu de visite
83046|2013-08436|Gîte de Trilla|Tourisme et Handicap|M. Fourcade|mairietrilla@wanadoo.fr|http://www.fenouilledes.com|468590091||auditif ; visuel ; moteur ; mental|66220||Occitanie|PYRENEES-ORIENTALES|TRILLA|Meublé de tourisme
83047|2013-08437|Studio  n°1|Tourisme et Handicap|Mme Christine Bérard|christ.berard@wanadoo.fr|http://vista-vinca.monsite.orange.fr|680736741||auditif ; moteur ; mental|66320|3 avenue de Baronnie|Occitanie|PYRENEES-ORIENTALES|VINCA|Meublé de tourisme
83048|2013-08438|Studio Cabine n°2|Tourisme et Handicap|Mme Christine Bérard|christ.berard@wanadoo.fr|http://vista-vinca.monsite.orange.fr|680736741||auditif ; moteur ; mental|66320|3 avenue de Baronnie|Occitanie|PYRENEES-ORIENTALES|VINCA|Meublé de tourisme
83050|2013-08440|Hôtel restaurant Villa Mathis|Tourisme et Handicap|M. Comau|accueil@villa-mathis.com|http://www.villa-mathis.com|390572700|390572713|mental ; moteur|67200|Col du Kreuzweg|Grand Est|BAS-RHIN|BREITENBACH-HAUT-RHIN|Hôtel-restaurant
83053|2013-08443|Gite Au Bon Accueil|Tourisme et Handicap|M. et Mme Bechtel|sonia@gitesonia.com|http://www.gitesonia.com|88857812||auditif ; moteur ; mental|67600|13 rue du Tabac|Grand Est|BAS-RHIN|EBERSHEIM|Meublé de tourisme
83054|2013-08444|Gite Au Pays du Sourire|Tourisme et Handicap|M. et Mme Bechtel|sonia@gitesonia.com|http://www.gitesonia.com|0388857812/0675484371||auditif ; moteur ; mental|67600|13 rue du Tabac|Grand Est|BAS-RHIN|EBERSHEIM|Meublé de tourisme
83055|2013-08445|Eglise Abbatiale d'Ebersmunster|Tourisme et Handicap|Mme Hirtz|amisabbatiale.ebersmunster@gmail.com||388857832|811383605|auditif ; mental|67600|Les Amis De l'Eglise Abbatiale|Grand Est|BAS-RHIN|EBERSMUNSTER|Lieu de visite
83056|2013-08446|Centre de Vacances Théodore Monod Fondation|Tourisme et Handicap|M. Lorentz|vacances@fondation-sonnenhof.org|http://www.vacances.fondation-sonnenhof.org|388014710|388015070|mental ; moteur ; visuel|67290|9 chemin de Laeger|Grand Est|BAS-RHIN|ERCKARTSWILLER|Hébergement collectif
83057|2013-08447|Gîte du Centre de Vacances Théodore Monod|Tourisme et Handicap|M.Lorentz|vacances@fondation-sonnenhof.org|http://www.vacances.fondation-sonnenhof.org|3388014710|388015070|mental ; moteur ; visuel|67290|10 chemin de Laeger|Grand Est|BAS-RHIN|ERCKARTSWILLER|Meublé de tourisme
83058|2013-08448|Office de Tourisme du Pays d'Erstein|Tourisme et Handicap|Mme Muller-Braun|erstein@grandried.fr|http://www.grandried.fr|388981433|388981232|mental ; moteur|67150|16 rue du Général de Gaulle|Grand Est|BAS-RHIN|ERSTEIN|Office de tourisme
83062|2013-08452|Gite Le Bigarreau|Tourisme et Handicap|M. et Mme Dietrich|dietrichroland@wanadoo.fr|http://www.gites-les-cerisiers.eu|388084107|388084107|auditif ; mental ; moteur ; visuel|67140|3 Chemin de Zellwiller|Grand Est|BAS-RHIN|GERTWILLER|Meublé de tourisme
83063|2013-08453|Centre de rencontre, d'accueil et de formation Le Liebfrauenberg|Tourisme et Handicap|M. Duchmann|contact@ethiclieb.com|http://www.ethic-etapes-liebfrauenberg.com|388093121|388094649|auditif ; mental ; moteur|67360|220 rue du Château|Grand Est|BAS-RHIN|GOERSDORF|
83064|2013-08454|Chambres d'Hôtes Le Coquelicot|Tourisme et Handicap|M. et Mme Grucker|bruno.grucker@wanadoo.fr|http://www.au-murier.fr|0388955061/0641611004||auditif ; mental ; moteur|67210|40 Impasse Finck|Grand Est|BAS-RHIN|GOXWILLER|Chambre d'hôtes
83067|2013-08457|Hôtel Ermitage|Tourisme et Handicap|M. ou Mme Zimmermann|info@hotel-ermitage.com|http://www.hotel-ermitage.com|388934123|388739155|mental ; moteur|67500|4 Place de la Basilique|Grand Est|BAS-RHIN|HAGUENAU|Hôtel
83073|2013-08463|Gîte du Château de Kintzheim|Tourisme et Handicap|M. Joel Bentz|joel.bentz@estvideo.fr|http://www.giteduchateau.com|622640262||auditif ; mental ; moteur|67600|79 rue de la Liberté|Grand Est|BAS-RHIN|KINTZHEIM|Meublé de tourisme
83074|2013-08464|Gite des Coquelicots|Tourisme et Handicap|M. Dino|jndino84@aol.com||490651171||auditif ; mental|67600|5 rue Albert Schweitzer|Grand Est|BAS-RHIN|KINTZHEIM|Meublé de tourisme
83075|2013-08465|La Montagne des Singes|Tourisme et Handicap|M. Guillaume De Turckheim|info@montagnedessinges.com|http://www.montagnedessinges.com|388921109|88823002|auditif ; mental|67600|La Wick|Grand Est|BAS-RHIN|KINTZHEIM|Lieu de visite
83076|2013-08466|Volerie des Aigles|Tourisme et Handicap|M. Renaud|promo@voleriedesaigles.com|http://www.voleriedesaigles.com|388928433|388821105|mental|67600|69 rue de la Liberté|Grand Est|BAS-RHIN|KINTZHEIM|
83080|2013-08470|Hôtel Les Alizés|Tourisme et Handicap|M. Feger|hotellesalizes@wanadoo.fr|http://www.hotel-les-alizes.com|388590200|388642161|auditif ; mental ; moteur|67640|Rue des Vosges|Grand Est|BAS-RHIN|LIPSHEIM|Hôtel
83081|2013-08471|Centre d'Education La Grange aux Paysages|Tourisme et Handicap|M. Dorn|info@grangeauxpaysages.fr|http://www.grangeauxpaysages.fr|388005555|388005557|moteur|67430|90 rue Principale|Grand Est|BAS-RHIN|LORENTZEN|Lieu de visite
83082|2013-08472|Office de Tourisme d'Alsace Bossue|Tourisme et Handicap|Mme Weinstein|tourisme@alsace-bossue.net|http://www.tourisme.alsace-bossue.net|388004039|388015043|mental ; moteur|67430|90 rue Principale|Grand Est|BAS-RHIN|LORENTZEN|Office de tourisme
83083|2013-08473|Hôtel Résidence Les Loges du Ried|Tourisme et Handicap|Mme Jaeger|contact@logesduried.com|http://www.logesduried.copm|388582500|388582505|mental ; moteur|67390|21 avenue de l'Europe|Grand Est|BAS-RHIN|MARCKOLSHEIM|Résidence de tourisme
83084|2013-08474|Office de Tourisme de Marckolsheim|Tourisme et Handicap|Mme Boes/ Mme Matter|marckolsheim@grandried.fr|http://www.grandried.fr|388925698|388925607|mental ; moteur|67390|13 rue du Maréchal Foch|Grand Est|BAS-RHIN|MARCKOLSHEIM|Office de tourisme
83085|2013-08475|Office de Tourisme de Marmoutier|Tourisme et Handicap|M. Erb|ot-accueil@paysdemarmoutier.eu|http://www.marmoutier.net|388714684|970324297|mental ; moteur|67441|1 rue du Général Leclerc|Grand Est|BAS-RHIN|MARMOUTIER|Office de tourisme
83091|2013-08481|Restaurant du Parc Casino de Niederbronn|Tourisme et Handicap|M. Grisebacher|esalot@lucienbarriere.com||388808488|388808480|mental ; moteur|67110|10 Place des Thermes|Grand Est|BAS-RHIN|NIEDERBRONN LES BAINS|Restaurant
83092|2013-08482|Camping Municipal Le Vallon de l'Ehn|Tourisme et Handicap|M. Trombini|camping@obernai.fr|http://www.obernai.fr|388953848|388483147|auditif ; mental|67210|1 rue de Berlin|Grand Est|BAS-RHIN|OBERNAI|Camping
83095|2013-08485|Restaurant Caseus Dei|Tourisme et Handicap|M. O. Bronnert|lecaseusdei-obernai@orange.fr|http://www.lecaseusdei.com|388472489|388955924|auditif ; mental|67210|24 rue Ste Odile|Grand Est|BAS-RHIN|OBERNAI|Restaurant
83097|2013-08487|Château du Haut Koenigsbourg|Tourisme et Handicap|M. Schmitt|haut-koenigsbourg@cg67.fr|http://www.haut-koenigsbourg.fr|388825060|388825061|auditif ; mental|67600||Grand Est|BAS-RHIN|ORSCHWILLER|Lieu de visite
83100|2013-08490|Restaurant du Mont Sainte Odile|Tourisme et Handicap|M. Matt|info@mont-sainte-odile.com|http://www.mont-sainte-odile.com|388958053|388958296|auditif ; mental ; moteur|67530|Le Mont Sainte Odile|Grand Est|BAS-RHIN|OTTROTT|Restaurant
83101|2013-08491|Musée de l'Imagerie Populaire|Tourisme et Handicap|M. Marmillod|musee.image@musees-vosges-nord.org|http://www.pfaffenhoffen.org|388078005|388078009|mental ; moteur|67350|24 rue du Docteur Albert Schweitzer|Grand Est|BAS-RHIN|PFAFFENHOFFEN|Lieu de visite
83102|2013-08492|Les Confitures du Climont|Tourisme et Handicap|Mme Krencker|confituresduclimont@wanadoo.fr|http://www.confituresduclimont.com|388977201|388977825|mental ; moteur|67420|La Salcée|Grand Est|BAS-RHIN|RANRUPT|Lieu de visite
83103|2013-08493|Office de Tourisme du Grand Ried Bureau d'accueil de Rhinau|Tourisme et Handicap|Mme Kiebel|rhinau@grandried.fr|http://www.grandried.fr|388746896||auditif ; mental ; moteur ; visuel|67860|35 rue du Rhin|Grand Est|BAS-RHIN|RHINAU|Office de tourisme
83104|2013-08494|Restaurant Au Vieux Couvent|Tourisme et Handicap|M. et Mme Albrecht|restaurant@vieuxcouvent.fr|http://www.vieuxcouvent.fr|388746115|388748919|auditif ; mental ; moteur|67860|6 rue des Chanoines|Grand Est|BAS-RHIN|RHINAU|Restaurant
83105|2013-08495|Ristorante Pizzeria Chez Nino|Tourisme et Handicap|M. Winum|winumfranck@yahoo.fr||33(0) 90572388||auditif ; moteur ; mental|67860|Rue de la Caserne|Grand Est|BAS-RHIN|RHINAU|Restaurant
83108|2013-08498|Chambres d'Hôtes Au Freidbarry|Tourisme et Handicap|M. Serge Jung|jung-serge2@orange.fr|http://www.freidbarry.com|0670767961 / 0388894280||auditif ; mental ; moteur ; visuel|67340|27 Rue du Pasteur Schroeder|Grand Est|BAS-RHIN|SCHILLERSDORF|Chambre d'hôtes
83111|2013-08501|Office de Tourisme de la Haute Vallée de la Bruche|Tourisme et Handicap|Mme Ostertag|tourisme@valleedelabruche.fr|http://www.valleedelabruche.fr|388471851|388970959|mental ; moteur|67130|114 Grand-rue|Grand Est|BAS-RHIN|SCHIRMECK|Office de tourisme
83113|2013-08503|Hôtel de l'Illwald|Tourisme et Handicap|M. Schwartz|contact@illwald.fr|http://www.illwald.fr|390561140|388853918|mental ; moteur|67600|Le Schnellenbuhl|Grand Est|BAS-RHIN|Sélestat|Hôtel
83114|2013-08504|Office de Tourisme|Tourisme et Handicap|Mme Geneviève Muller-Stein|accueil@selestat-tourisme.com|http://www.selestat-tourisme.com|388588720|392886363|auditif ; mental ; moteur|67604|Boulevard du Général Leclerc BP 90184|Grand Est|BAS-RHIN|Sélestat|Office de tourisme
83115|2013-08505|Gîte rural Digeon|Tourisme et Handicap|Mme Digeon|roger.monique@wanadoo.fr|http://www.gite-moniquedigeon.com|0388973451 / 0687160122||auditif ; mental|67130|39 rue Principale|Grand Est|BAS-RHIN|SOLBACH|Meublé de tourisme
83116|2013-08506|Restaurant et Boutique Lucien Doriath|Tourisme et Handicap|M. Lucien Doriath|info@lucien-doriath.fr|http://www.lucien-doriath.fr|388479898|388388929|auditif ; mental ; moteur ; visuel|67120|30A Route de Molsheim|Grand Est|BAS-RHIN|SOULTZ LES BAINS|Restaurant
83117|2013-08507|Gite 1656 Ferme de Manou|Tourisme et Handicap|Mme Schieber|fermedumanou@wanadoo.fr|http://www.fermedumanou.com|388589856||auditif ; mental ; moteur|67220|5 rue du Bas des Monts|Grand Est|BAS-RHIN|STEIGE|Meublé de tourisme
83121|2013-08511|Centre de Découvertes le Vaisseau|Tourisme et Handicap|M. Ginest|info@levaisseau.com|http://www.levaisseau.com|369332669||mental ; moteur|67100|1 bis rue Philippe Dollinger|Grand Est|BAS-RHIN|STRASBOURG|Lieu de visite
83122|2013-08512|Centre International de Séjour CIARUS|Tourisme et Handicap|Mme Nelly Perrin Jund|ciarus@ciarus.com|http://www.ciarus.com|388152788|388152789|mental ; moteur|67000|7 Rue Finkmatt|Grand Est|BAS-RHIN|STRASBOURG|Hébergement collectif
83123|2013-08513|Hotel Athena SPA|Tourisme et Handicap|Mme D. Chenevelle|contact@athenaspahotel.com|http://www.athenaspahotel.com|388301030|388308350|mental ; moteur|67200|1 rue Armande Béjart|Grand Est|BAS-RHIN|STRASBOURG|Hôtel
